Sample,-30-32-,"Dist(3, 9)","Dist(4, 10)","Dist(10, 42)","Dist(10, 7)","Dist(30, 32)",dip_x,dip_y,dip_z,Total,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_7,NPA_42,diff 3 9,diff 4 10,diff 10 42,diff 10 7,diff 30 32,Pol iso,Pol aniso,B1,B5,L,Yield
3,3507.5152,1.470994434,1.938308282,1.987247844,1.971871446,0.98623791,-1.7894,-1.4906,-1.9852,3.0602,-0.22482,-0.1944,-0.13656,-0.3024,-0.26806,-0.00156,0.24892,0.24497,0.99008,0.54369,0.91816,-0.68537,-0.63223,-0.49983,-0.38153,-1.29248,1.48991,1.62231,1.22906,279.45,107.344,1.94,3.28,9.51,94.5
7,3474.7027,1.483137656,1.943397282,1.954266932,1.978320058,0.987598696,-1.9618,-1.3121,-2.1296,3.1789,-0.22621,0.00551,-0.11524,-0.31523,-0.28072,-0.20163,-0.7169,0.24511,0.99315,0.54279,0.91743,-0.68532,-0.6342,-0.4956,-0.36035,-1.30838,1.48875,1.62735,1.22811,277.316,98.8276,2.24,4.33,9.46,92.5
8,3504.6326,1.484603035,1.93871081,1.961333893,1.977368776,0.986465885,-1.6026,-1.4173,-2.0247,2.9456,-0.22857,-0.20444,-0.11998,-0.31617,-0.27326,-0.20861,0.24932,0.24997,0.99263,0.54311,0.91791,-0.68493,-0.63349,-0.49394,-0.36995,-1.3088,1.48657,1.62612,1.22804,276.337,97.0268,2.19,4.22,9.47,93
2,3485.732,1.46560212,1.955923731,1.970201899,1.974649904,0.98732773,-1.5755,-2.0758,-1.8972,3.2235,-0.32276,-0.17264,-0.15159,-0.30464,-0.32424,0.36712,0.24864,0.24903,0.99491,0.54357,0.91812,-0.6858,-0.63291,-0.49841,-0.40062,-1.29955,1.49332,1.62782,1.22937,287.829,123.73,1.95,3.29,9.49,95.5
4,3538.9631,1.475400598,1.938167819,1.990236045,1.970530233,0.984725538,-7.6617,-3.0683,-1.7924,8.4457,-0.20794,-0.19527,-0.11131,-0.31267,-0.24265,-0.1429,0.25373,0.23904,0.98577,0.54029,0.91913,-0.68273,-0.6321,-0.49521,-0.35035,-1.29844,1.48098,1.61787,1.22302,276.808,101.734,1.98,3.28,9.47,91.5
1,3483.932,1.472706099,1.955532839,1.971003618,1.976362394,0.98716116,-1.7873,-1.5503,-1.9755,3.0823,-0.2268,-0.19956,-0.11995,-0.32623,-0.27352,-0.20912,0.24792,0.24478,0.99264,0.54248,0.91795,-0.68465,-0.63358,-0.49559,-0.36473,-1.31887,1.48823,1.62622,1.22713,264.99,94.6161,1.96,3.27,9.49,95
9,3480.4122,1.429466096,1.964708737,2.001407891,1.968479363,0.987528395,-1.9281,-0.7704,-1.7189,2.6954,-0.20658,-0.04673,-0.08464,-0.31015,-0.28925,-0.21247,-0.18794,0.23404,0.99373,0.54214,0.91778,-0.68614,-0.63074,-0.48178,-0.31868,-1.30388,1.47551,1.62447,1.22828,286.593,125.903,1.7,4.43,9.46,90.5
10,3514.8079,1.466673729,1.943403025,1.994864338,1.972101959,0.985940277,-2.8277,-0.0782,-2.0731,3.5071,-0.23168,-0.18232,-0.14865,-0.30764,-0.28265,-0.20253,0.27375,0.47871,0.98222,0.54353,0.91829,-0.68391,-0.63414,-0.5236,-0.62736,-1.28986,1.50582,1.61636,1.22744,260.692,90.6071,1.7,3.14,9.43,91.5
25,3527.3876,1.456330883,1.969038766,1.978108266,1.97658093,0.985561747,-1.9114,-0.7509,-1.7893,2.7238,-0.23413,-0.17988,-0.17071,-0.28839,-0.30699,-0.19495,0.26813,0.67957,0.98805,0.54148,0.91527,-0.68674,-0.62709,-0.57988,-0.85028,-1.27644,1.56793,1.61514,1.22822,245.559,74.3897,1.89,3.14,8.28,13.5
27,3528.3655,1.423951028,1.953143791,1.976972722,1.976915854,0.985163035,-0.8303,-1.2714,-1.5843,2.1945,-0.21524,-0.24637,0.1112,-0.35569,-0.26098,-0.2294,0.25602,-0.1522,0.96598,0.54104,0.91979,-0.6861,-0.63051,-0.331,0.2634,-1.32167,1.29698,1.59649,1.22714,248.152,80.9993,1.7,3.15,8.64,70.5
