Sample,-30-31-,-30-32-,"Dist(4, 10)","Dist(3, 9)","Dist(30, 10)",dip_x,dip_y,dip_z,Total,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff 3 9,diff 4 10,diff 4 31,Pol iso,Pol aniso,B1,B5,L,Yield
3,3737.8815,3850.6635,1.924478404,1.46777178,2.005610219,-0.5858,2.783,-2.9452,4.0942,-0.23014,-0.19078,-0.13909,-0.23252,-0.27748,0.0021,0.24645,0.25242,0.96464,-0.89971,0.5485,0.53678,0.39151,1.19716,0.78102,258.058,139.096,1.94,3.28,9.51,94.5
7,3733.5734,3848.5679,1.915276993,1.479801621,2.006753685,-0.4202,2.5919,-2.9766,3.9692,-0.23293,0.00884,-0.12483,-0.22729,-0.29373,-0.1965,-0.71562,0.25311,0.96256,-0.90028,0.54822,0.53646,0.37794,1.18985,0.77551,254.796,130.88,2.24,4.33,9.46,92.5
8,3735.4926,3849.0038,1.913585037,1.480654846,2.006644114,-0.636,2.236,-2.9405,3.7484,-0.23472,-0.20212,-0.12605,-0.23442,-0.2857,-0.20461,0.24819,0.25672,0.96307,-0.9002,0.54806,0.53665,0.38277,1.19749,0.78248,253.986,128.353,2.19,4.22,9.47,93
2,3735.9169,3849.1292,1.923557696,1.463429927,2.005590123,-1.366,2.8318,-2.8437,4.2392,-0.32692,-0.17239,-0.16149,-0.22635,-0.32416,0.37,0.24772,0.25431,0.96497,-0.89925,0.54842,0.53687,0.4158,1.19132,0.77477,266.029,152.544,1.95,3.29,9.49,95.5
4,3749.3135,3856.1644,1.922655358,1.472538237,2.005623841,1.1123,8.9764,-2.7571,9.4559,-0.21257,-0.19301,-0.11514,-0.24027,-0.2508,-0.1404,0.25135,0.24689,0.96086,-0.90036,0.54867,0.53801,0.36203,1.20113,0.78894,255.093,133.174,1.98,3.28,9.47,91.5
1,3741.8655,3852.601,1.924878134,1.470422764,2.005694624,-0.7552,2.6463,-3.0442,4.1037,-0.23278,-0.1982,-0.12944,-0.24311,-0.27865,-0.20555,0.24651,0.25119,0.96338,-0.89998,0.54854,0.53697,0.38063,1.20649,0.79165,242.876,126.442,1.96,3.27,9.49,95
9,3740.5305,3850.3158,1.939607807,1.428667049,2.004315081,-0.0109,2.3795,-2.7841,3.6624,-0.2113,-0.04874,-0.09181,-0.25221,-0.27091,-0.21115,-0.18373,0.23588,0.96617,-0.89979,0.54851,0.53744,0.32769,1.21838,0.80072,265.274,153.901,1.7,4.43,9.46,90.5
10,3741.6371,3854.5126,1.928951233,1.46317555,2.005912832,1.1881,2.9562,-3.2708,4.5661,-0.23637,-0.1801,-0.15412,-0.24174,-0.2831,-0.19837,0.27148,0.4836,0.95787,-0.90133,0.54986,0.53707,0.63772,1.19961,0.7916,239.163,122.22,1.7,3.14,9.43,91.5
25,3747.9899,3857.4475,1.951313905,1.45328175,2.00948856,-0.2092,2.4448,-3.0006,3.8761,-0.23806,-0.18239,-0.18356,-0.24146,-0.28034,-0.19438,0.2665,0.68524,0.96666,-0.89742,0.54713,0.53704,0.8688,1.20812,0.78859,223.885,98.4072,1.89,3.14,8.28,13.5
27,3743.9402,3849.4774,1.938905269,1.425829602,2.010317687,-0.9729,1.8416,-2.6614,3.3795,-0.21972,-0.24587,0.1066,-0.2947,-0.26104,-0.22637,0.25359,-0.14617,0.94056,-0.89831,0.54736,0.53835,-0.25277,1.23526,0.84206,225.918,108.882,1.7,3.15,8.64,70.5
24,3715.1402,3834.7742,1.914061975,1.40385301,2.021239367,1.3632,2.0241,-4.0029,4.6881,-0.22558,-0.25083,0.25894,-0.32413,-0.28966,-0.22897,0.26642,-0.51334,0.96867,-0.90579,0.54799,0.53255,-0.77228,1.2928,0.87212,240.819,102.747,1.7,5.22,9.57,7
23,3741.8125,3834.9492,1.923795821,1.470179396,2.009062326,-0.4812,1.2099,-2.515,2.8321,-0.23556,-0.19587,-0.13107,-0.23732,-0.28174,-0.20297,0.24681,0.28601,0.98352,-0.90173,0.54573,0.53837,0.41708,1.22084,0.78305,288.922,175.089,1.98,4.62,11.49,19.5
5,3748.8023,3856.2558,1.923205862,1.472366037,2.006670575,-1.5265,6.7136,-2.8863,7.4655,-0.20265,-0.20029,-0.10666,-0.24348,-0.23526,-0.14471,0.24998,0.24523,0.96027,-0.89975,0.54823,0.53748,0.35189,1.20375,0.79171,260.362,149.157,1.96,3.28,9.48,90
6,3736.2534,3846.8222,1.926763173,1.463053745,2.005140679,3.8397,4.0768,-2.8229,6.2715,-0.26456,-0.17789,-0.15661,-0.23032,-0.312,0.19987,0.24883,0.25342,0.96742,-0.89983,0.54853,0.53724,0.41003,1.19774,0.77885,288.081,184.679,1.96,3.29,9.5,81
