Sample,-30-31-,"Dist(4, 10)","Dist(3, 9)","Dist(30, 10)",dip_x,dip_y,dip_z,Total,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff 3 9,diff 4 10,diff 4 31,Pol iso,Pol aniso,B1,B5,L,Yield
3,3765.6294,1.924705947,1.467626247,1.98772513,2.524,-1.552,-2.7757,4.06,-0.23025,-0.19138,-0.13997,-0.24053,-0.2741,0.00183,0.24597,0.25222,1.01062,-0.73442,0.54511,-0.31066,0.39219,1.25115,0.78564,267.338,130.472,1.94,3.28,9.51,94.5
7,3759.1921,1.915222795,1.47954737,1.988907591,2.3668,-1.5373,-2.7344,3.9296,-0.23309,0.00802,-0.12553,-0.23593,-0.29002,-0.19684,-0.71531,0.25313,1.00867,-0.73494,0.54495,-0.31088,0.37866,1.2446,0.78088,264.088,121.921,2.24,4.33,9.46,92.5
8,3760.563,1.913778979,1.480465245,1.989207081,2.2054,-1.2662,-2.6872,3.6998,-0.235,-0.20279,-0.12668,-0.24304,-0.28247,-0.20485,0.24787,0.25682,1.00902,-0.73506,0.54476,-0.31093,0.3835,1.25206,0.7878,263.331,119.485,2.19,4.22,9.47,93
2,3763.8614,1.924074561,1.463304956,1.987847027,3.0322,-1.0046,-2.7501,4.215,-0.3267,-0.17328,-0.16193,-0.23551,-0.31974,0.36935,0.24724,0.25402,1.01077,-0.73435,0.54534,-0.31068,0.41595,1.24628,0.78085,275.276,143.994,1.95,3.29,9.49,95.5
4,3776.9591,1.922759132,1.472489467,1.988044653,6.3681,-6.4012,-2.6584,9.4125,-0.21288,-0.19324,-0.11588,-0.24834,-0.24851,-0.1404,0.25095,0.24685,1.00595,-0.73401,0.54454,-0.31074,0.36273,1.25429,0.79288,264.386,124.576,1.98,3.28,9.47,91.5
1,3768.3323,1.924991555,1.470255075,1.987897625,2.5243,-1.3237,-2.8416,4.0248,-0.23304,-0.19867,-0.13038,-0.25072,-0.27569,-0.20558,0.24605,0.25108,1.00882,-0.73425,0.54494,-0.31074,0.38146,1.25954,0.79566,252.164,117.769,1.96,3.27,9.49,95
9,3770.1116,1.939791361,1.428833177,1.98661085,1.779,-1.8788,-2.6959,3.7367,-0.21185,-0.04917,-0.09254,-0.25939,-0.26808,-0.21094,-0.18381,0.2356,1.01146,-0.73463,0.54519,-0.3104,0.32814,1.27085,0.80458,274.347,145.493,1.7,4.43,9.46,90.5
10,3766.5471,1.92926797,1.462955925,1.987928134,1.6009,-3.0323,-2.9761,4.5403,-0.23667,-0.18055,-0.15503,-0.24902,-0.28038,-0.19825,0.27112,0.48295,1.00186,-0.73437,0.54596,-0.31087,0.63798,1.25088,0.79498,248.455,113.542,1.7,3.14,9.43,91.5
25,3774.0125,1.951183593,1.453548696,1.992684757,2.0102,-1.8263,-2.7588,3.8713,-0.23811,-0.18351,-0.18316,-0.24958,-0.27723,-0.19493,0.26607,0.68321,1.01033,-0.73199,0.54378,-0.30851,0.86637,1.25991,0.79336,233.21,89.8953,1.89,3.14,8.28,13.5
27,3768.8339,1.938583289,1.425897429,1.993707957,2.0146,-0.7211,-2.5383,3.3199,-0.22004,-0.24611,0.10591,-0.30237,-0.25868,-0.22646,0.2532,-0.14568,0.98394,-0.73296,0.54384,-0.31154,-0.25159,1.28631,0.84621,235.22,100.027,1.7,3.15,8.64,70.5
24,3796.7473,1.912304123,1.405088737,2.01081277,-0.5501,-2.525,-3.3911,4.2636,-0.22701,-0.25485,0.25532,-0.32105,-0.26726,-0.23544,0.26534,-0.51243,1.0246,-0.7441,0.53192,0.28449,-0.76775,1.34565,0.85297,249.88,92.9014,1.7,5.22,9.57,7
23,3756.5087,1.91936426,1.470423836,2.003402032,1.1113,-0.5912,-2.4419,2.7472,-0.23492,-0.19568,-0.13,-0.2513,-0.28498,-0.2033,0.24714,0.28246,1.02741,-0.74223,0.54426,-0.30736,0.41246,1.27871,0.79556,298.273,168.051,1.98,4.62,11.49,19.5
5,3776.5238,1.923480823,1.472358403,1.988572531,6.2176,-3.1241,-2.6842,7.4581,-0.20279,-0.20087,-0.10743,-0.25232,-0.23154,-0.14497,0.24956,0.24498,1.00554,-0.73396,0.54443,-0.31071,0.35241,1.25786,0.79675,269.619,140.586,1.96,3.28,9.48,90
6,3763.1141,1.927155853,1.462887792,1.987209813,0.8035,-5.8025,-2.5851,6.4029,-0.26455,-0.17842,-0.15735,-0.2379,-0.30871,0.19963,0.24835,0.2532,1.01357,-0.73455,0.54517,-0.31073,0.41055,1.25147,0.78307,297.289,176.386,1.96,3.29,9.5,81
