Sample,-4-10-,"Dist(3, 9)","Dist(4, 10)",dip_x,dip_y,dip_z,Total,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_8,NPA_9,NPA_10,diff 4 10,diff 3 9,B1,B5,L,Pol iso,Pol aniso,Yield
3,3234.8069,1.483581512,1.08140867,-1.3191,0.428,0.669,1.5397,-0.21055,-0.18326,-0.08829,-0.16557,-0.20656,-0.0167,0.20856,0.18913,0.23338,0.39895,0.27742,1.94,3.28,9.51,146.931,125.075,94.5
7,3232.1872,1.487702751,1.081949239,-1.3426,1.1568,1.0952,2.0833,-0.20749,-0.00407,-0.07583,-0.16693,-0.21807,-0.19902,-0.62586,0.18571,0.22671,0.39364,0.26154,2.24,4.33,9.46,141.967,96.5116,92.5
8,3231.9008,1.487869439,1.081917768,-1.2843,0.9245,1.2886,2.0407,-0.21147,-0.19586,-0.07104,-0.17445,-0.20897,-0.20739,0.20943,0.1823,0.22753,0.40198,0.25334,2.19,4.22,9.47,141.872,95.6306,93
2,3229.591,1.48196088,1.081441235,-0.1762,0.1168,0.5959,0.6323,-0.25218,-0.16912,-0.11417,-0.14776,-0.30513,0.30201,0.21,0.19347,0.23472,0.38248,0.30764,1.92,3.28,9.5,153.373,135.628,95.5
4,3241.2991,1.485510224,1.080877313,-1.4379,4.3077,0.6651,4.5898,-0.18244,-0.18948,-0.05529,-0.17094,-0.17716,-0.14839,0.21508,0.17798,0.23997,0.41091,0.23327,1.98,3.28,9.47,145.489,118.946,91.5
1,3237.7044,1.484894694,1.081306397,-1.3517,0.9491,0.6808,1.7864,-0.21004,-0.19301,-0.07686,-0.17506,-0.20741,-0.20586,0.20924,0.18639,0.23363,0.40869,0.26325,1.96,3.27,9.49,131.267,106.766,95
9,3241.787,1.449408179,1.081030056,-1.5311,0.7489,0,1.7044,-0.18637,-0.06049,-0.0583,-0.17074,-0.20783,-0.20238,-0.17147,0.18308,0.23812,0.40886,0.24138,1.7,4.43,9.46,156.96,137.953,90.5
10,3241.4985,1.484450656,1.080935908,0,1.7164,0.0004,1.7164,-0.21408,-0.17236,-0.10482,-0.17236,-0.21408,-0.19676,0.23535,0.39668,0.23535,0.40771,0.5015,1.7,3.14,9.43,126.738,108.463,91.5
25,3234.9383,1.47145702,1.081816465,-0.9862,0.6437,0.0002,1.1776,-0.21344,-0.17509,-0.1219,-0.16241,-0.21276,-0.1959,0.2306,0.53092,0.23725,0.39966,0.65282,1.89,3.14,8.28,110.54,78.716,13.5
27,3258.792,1.417046002,1.079410029,-1.7581,-0.4227,0.0036,1.8082,-0.1934,-0.23508,0.1414,-0.22018,-0.19106,-0.22488,0.21272,-0.16595,0.24765,0.46783,-0.30735,1.7,3.15,8.64,114.844,93.368,70.5
24,3237.5419,1.383158266,1.081230318,0.6155,1.2874,-0.4027,1.4827,-0.19892,-0.24356,0.279,-0.2372,-0.19864,-0.22624,0.22452,-0.46999,0.22502,0.46222,-0.74899,1.7,5.22,9.57,131.5,81.0172,7
23,3237.3163,1.485646267,1.081355643,-1.1877,0.8721,0.6078,1.594,-0.21027,-0.19265,-0.07903,-0.17227,-0.20763,-0.20395,0.20966,0.2091,0.23345,0.40572,0.28813,1.98,4.62,11.49,185.921,174.644,19.5
5,3241.0186,1.485203956,1.08102319,-3.0953,4.2564,0.6524,5.3032,-0.16738,-0.20047,-0.04214,-0.17789,-0.15334,-0.17908,0.21386,0.17546,0.23846,0.41635,0.2176,1.96,3.28,9.48,151.727,141.341,90
6,3234.1758,1.482117748,1.081377707,-4.6919,-0.1608,0.5694,4.7291,-0.24262,-0.17433,-0.10105,-0.14886,-0.23977,0.1487,0.21086,0.19014,0.23602,0.38488,0.29119,1.96,3.29,9.5,176.223,166.355,81
