Sample,-30-31-,-30-32-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 30)",dip_x,dip_y,dip_z,Total,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff 4 10,diff 3 9,Pol iso,Pol aniso,B1,B5,L,Yield
46,3346.5925,3823.9809,1.931577907,1.494981737,1.980484511,-0.8928,0.5892,-1.6765,1.9888,-0.23841,-0.21094,-0.18857,-0.25613,-0.29721,-0.21036,0.25032,0.74886,1.02176,-0.92701,0.54926,0.52748,1.27789,0.93743,298.822,97.764,2.06,5.22,9.65,46.5
48,3222.0833,3819.4827,1.924540522,1.490477519,1.973825139,-1.4627,0.7265,-1.0648,1.9497,-0.24038,-0.21407,-0.18681,-0.23601,-0.29605,-0.21485,0.25137,0.74535,1.01536,-0.93159,0.54815,0.52658,1.25137,0.93216,285.288,93.2151,2,5.46,9.4,47.5
47,3287.9339,3820.7627,1.929576636,1.481863187,1.980705121,-1.8508,1.9494,-0.9422,2.8484,-0.24201,-0.18604,-0.2036,-0.24197,-0.29235,-0.20439,0.25295,0.73385,1.01184,-0.92906,0.54787,0.52727,1.25381,0.93745,259.932,100.349,1.87,5.09,8.34,46.5
43,3455.2438,3821.9121,1.923017557,1.478021678,1.973180287,1.1021,-0.3351,-4.8547,4.9895,-0.24229,-0.19865,-0.19687,-0.2074,-0.26841,-0.19236,0.24363,0.74336,1.00373,-0.91714,0.54736,0.52809,1.21113,0.94023,246.462,95.9288,1.74,3.16,8.28,68
45,3476.0246,3818.4147,1.920352256,1.482451599,1.9728436,1.688,-0.8544,-4.4304,4.8175,-0.24205,-0.20523,-0.18782,-0.20931,-0.26933,-0.19498,0.24588,0.74203,1.00855,-0.91676,0.5476,0.5282,1.21786,0.92985,257.85,101.912,1.98,4.12,8.35,51.5
49,3559.2781,3810.1939,1.919739157,1.427737389,1.973632614,2.8293,-0.8109,-3.8151,4.8185,-0.22653,-0.25581,0.10996,-0.26635,-0.26533,-0.22692,0.24705,-0.43207,1.0148,-0.92025,0.54838,0.53094,1.28115,-0.54203,261.913,101.755,2.21,3.57,8.54,69.5
36,3493.546,3773.3891,1.929475646,1.421807177,1.98258046,-2.7614,4.0578,-0.624,4.9477,-0.21668,-0.2506,0.13035,-0.28339,-0.23231,-0.19405,0.2532,-0.60213,1.01592,-0.92687,0.55189,0.53614,1.29931,-0.73248,251.245,97.9018,1.7,3.45,8.59,42.5
41,3556.603,3805.7892,1.918806482,1.425709172,1.974967833,3.2772,-1.6609,-4.0735,5.4856,-0.22708,-0.25294,0.10797,-0.27887,-0.26107,-0.23052,0.24252,-0.60133,1.02304,-0.92144,0.54941,0.53051,1.30191,-0.7093,276.022,91.9573,2.79,3.44,9.94,71
44A,3469.1385,3819.5797,1.92119492,1.477865961,1.9714671,3.9378,-1.8712,-5.1037,6.7124,-0.2443,-0.18853,-0.20097,-0.20638,-0.27319,-0.19234,0.25911,0.7507,1.0034,-0.91653,0.54778,0.52828,1.20978,0.95167,296.437,133.411,1.78,5.12,11.45,37
44B,3570.9587,3806.581,1.918416063,1.424204584,1.974322816,3.5961,-1.9178,-3.5842,5.4274,-0.22772,-0.25095,0.10638,-0.2747,-0.26336,-0.22843,0.24342,-0.59322,1.01674,-0.91976,0.54938,0.53053,1.29144,-0.6996,298.206,140.939,2.06,3.46,11.69,59.5
33,3539.9068,3810.0748,1.921542572,1.426584114,1.974164884,2.1784,-0.2293,-4.2141,4.7493,-0.22676,-0.25156,0.10351,-0.27706,-0.26064,-0.2282,0.24328,-0.5971,1.01427,-0.9206,0.54889,0.53067,1.29133,-0.70061,244.021,94.1656,1.7,3.45,8.55,71.5
35,3556.5141,3807.7029,1.919296596,1.426422307,1.975954633,2.3608,-0.3159,-4.1344,4.7714,-0.22409,-0.24354,0.09538,-0.26824,-0.25786,-0.02183,0.24342,-0.5956,1.01588,-0.92019,0.54923,0.53058,1.28412,-0.69098,257.239,102.455,1.7,3.45,8.55,65.5
34,3542.392,3807.4975,1.921143522,1.426832569,1.972843538,1.8225,0.1362,-4.0279,4.4231,-0.31765,-0.22983,0.07507,-0.2617,-0.3038,0.34349,0.24415,-0.5927,1.01704,-0.9208,0.5499,0.53054,1.27874,-0.66777,263.492,112.021,1.79,3.45,8.47,55.5
38,3548.4101,3808.1755,1.920641939,1.428143807,1.974397856,2.5527,-0.2866,-4.1603,4.8894,-0.22496,-0.04649,0.1092,-0.26812,-0.26954,-0.22127,-0.72678,-0.60048,1.0156,-0.9206,0.54892,0.5307,1.28372,-0.70968,256.786,102.034,1.79,4.36,8.5,60
39,3568.5567,3807.7967,1.918667988,1.427818258,1.976153456,2.7128,-0.4127,-3.9992,4.8501,-0.22162,-0.03849,0.10117,-0.25981,-0.26716,-0.0152,-0.72534,-0.59883,1.01705,-0.9201,0.54956,0.53066,1.27686,-0.7,269.902,108.588,1.84,4.36,8.49,64.5
40,3565.9597,3805.2983,1.9183857,1.426511093,1.975174097,3.5534,-1.6553,-3.9893,5.593,-0.22515,-0.0479,0.11379,-0.27069,-0.2696,-0.22386,-0.72604,-0.60594,1.02454,-0.9215,0.54951,0.53057,1.29523,-0.71973,288.321,99.8507,2.83,4.36,9.92,77.5
42,3595.0003,3803.4049,1.920584992,1.42565936,1.974459285,2.9365,-2.1247,-2.985,4.6955,-0.22665,-0.25754,0.11466,-0.2792,-0.26494,-0.23457,0.24134,-0.6376,1.0236,-0.91932,0.54988,0.53091,1.3028,-0.75226,298.215,135.324,1.82,5.39,12.33,51.5
37,3141.0806,3853.213,1.934939921,1.418567037,1.966254887,-3.153,2.9439,0.535,4.3468,-0.19078,-0.25626,0.14802,-0.2873,-0.20546,-0.20049,0.25119,-0.60616,1.02152,-0.94128,0.55354,0.52584,1.30882,-0.75418,258.263,111.403,1.85,3.45,8.61,49.5
50,3530.1567,3810.6203,1.921804031,1.426973027,1.972962425,1.1742,-0.0626,-4.0239,4.1922,-0.31057,-0.23179,0.07325,-0.2589,-0.31466,0.34773,0.24555,-0.59308,1.01653,-0.92123,0.54957,0.53031,1.27543,-0.66633,249.745,101.751,1.85,3.45,8.61,46.5
52,3298.6172,3817.7684,1.923119089,1.422890456,1.980866804,-3.4512,-1.2446,-2.115,4.2348,-0.24444,-0.25847,0.11969,-0.28355,-0.25122,-0.25604,0.24267,-0.59505,1.02118,-0.93339,0.55113,0.52744,1.30473,-0.71474,308.858,117.994,2.64,4.15,11.61,20.5
25,3202.249,3827.673,1.955095778,1.455413178,1.978498789,0.3613,2.5562,-1.9879,3.2584,-0.23754,-0.19315,-0.18517,-0.2432,-0.29475,-0.20957,0.26609,0.68807,0.99858,-0.93179,0.54723,0.52615,1.24178,0.87324,249.6,93.7694,1.89,3.14,8.28,80
