Sample,-30-31-,"Dist(4, 10)","Dist(3, 9)","Dist(30, 10)",dip_x,dip_y,dip_z,Total,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff 3 9,diff 4 10,Dihedral(5_4_3_9),Dihedral(10_4_3_9),Angle(4_3_9),Angle(3_4_10),Pol iso,Pol aniso,B1,B5,L,Yield
46,3449.5683,1.936053104,1.495318675,1.969148473,-1.2922,0.5728,-1.4977,2.0593,-0.23986,-0.21093,-0.19012,-0.27037,-0.29553,-0.21122,0.25047,0.74904,1.0672,-0.76072,0.55108,-0.31402,0.93916,1.33757,174.1788613,12.41051482,111.5643487,112.2654359,307.916,95.0556,2.06,5.22,9.65,46.5
48,3469.7311,1.94186977,1.487831942,1.96891107,-1.8537,0.9273,-1.6082,2.6234,-0.24018,-0.2137,-0.19042,-0.26741,-0.29592,-0.21644,0.25447,0.74637,1.05938,-0.76082,0.55295,-0.31148,0.93679,1.32679,176.5686054,9.709992468,111.9945894,111.4808965,295.919,93.7826,2,5.46,9.4,47.5
47,3440.9578,1.929915434,1.487179216,1.961500765,-2.1303,1.7352,0.1352,2.7509,-0.24752,-0.19878,-0.19625,-0.2445,-0.29618,-0.22136,0.26727,0.72215,1.05426,-0.76121,0.55468,-0.31413,0.9184,1.29876,176.5681835,3.429634188,110.693723,113.2422845,269.509,83.9489,1.87,5.09,8.34,46.5
43,3447.3146,1.921572843,1.476376681,1.957781537,0.7651,-0.336,-4.3953,4.474,-0.24442,-0.1993,-0.20183,-0.20228,-0.26637,-0.1913,0.24321,0.74226,1.04004,-0.76342,0.55088,-0.30735,0.94409,1.24232,172.4854957,44.15232273,111.5643056,112.5355896,255.756,93.1657,1.74,3.16,8.28,68
45,3407.4366,1.922559782,1.482206709,1.969157857,-0.0782,-1.7463,-4.0029,4.368,-0.24372,-0.20958,-0.19772,-0.22626,-0.26487,-0.1961,0.2461,0.73759,1.05537,-0.76017,0.54469,-0.31109,0.93531,1.28163,171.8816604,43.90183747,111.5022589,112.323565,267.236,96.9418,1.98,4.12,8.35,51.5
49,3440.0862,1.918528477,1.430264467,1.961296057,0.6771,-1.6396,-4.8702,5.1832,-0.22995,-0.25578,0.10561,-0.26168,-0.2595,-0.23143,0.24606,-0.42975,1.05748,-0.75993,0.54548,-0.31313,-0.53536,1.31916,174.4578169,62.58240379,120.1853776,122.2184713,272.349,83.22,2.21,3.57,8.54,69.5
36,3343.819,1.931160053,1.421337213,1.973655761,-2.3083,4.1035,-0.9013,4.7937,-0.21752,-0.25304,0.13049,-0.28976,-0.22417,-0.19416,0.25192,-0.60328,1.06218,-0.76353,0.55383,-0.30299,-0.73377,1.35194,171.7803908,64.03411956,121.3446339,122.6310343,261.395,95.6977,1.7,3.45,8.59,42.5
41,3436.7908,1.916542753,1.428592388,1.961977458,1.1851,-2.3705,-5.1234,5.7682,-0.23058,-0.2527,0.10324,-0.27161,-0.2581,-0.23475,0.24145,-0.60233,1.0651,-0.76144,0.54616,-0.31098,-0.70557,1.33671,173.0476154,62.7766669,121.3497186,121.1448458,286.38,77.8224,2.79,3.44,9.94,71
44A,3442.1191,1.919351056,1.47621423,1.957498727,3.4926,-1.551,-4.9833,6.28,-0.24648,-0.18832,-0.206,-0.19962,-0.27152,-0.1911,0.25821,0.75007,1.03882,-0.762,0.5508,-0.30802,0.95607,1.23844,171.620288,44.01760256,111.5251397,112.4864586,306.072,132.024,1.78,5.12,11.45,37
44B,3442.44,1.918587769,1.426346472,1.963014986,1.1554,-2.4728,-4.9902,5.6879,-0.23117,-0.25075,0.10187,-0.26842,-0.25803,-0.23255,0.24202,-0.58897,1.05927,-0.76013,0.54604,-0.311,-0.69084,1.32769,173.8519257,62.96300344,121.3826762,121.5264932,309.244,130.864,2.06,3.46,11.69,59.5
33,3437.3166,1.920734013,1.429012231,1.961276348,0.0736,-1.0751,-5.1623,5.2736,-0.2305,-0.2509,0.09862,-0.2704,-0.25803,-0.23205,0.24232,-0.59523,1.05585,-0.7595,0.54605,-0.31256,-0.69385,1.32625,173.0346772,63.20422659,121.3156618,121.7156386,254.505,76.078,1.7,3.45,8.55,71.5
35,3445.5861,1.919598883,1.42878074,1.960983205,0.246,-0.8837,-5.1752,5.2559,-0.22632,-0.24338,0.08993,-0.26088,-0.25568,-0.027,0.24226,-0.59348,1.0576,-0.75911,0.54584,-0.31246,-0.68341,1.31848,172.9737252,63.34007837,121.5102649,121.6510053,267.665,86.2658,1.7,3.45,8.55,65.5
34,3427.5089,1.9208946,1.429048496,1.958754862,-0.9412,-0.8254,-4.9142,5.0711,-0.32093,-0.22928,0.07193,-0.25536,-0.30199,0.3387,0.24335,-0.59133,1.05777,-0.75905,0.54558,-0.31196,-0.66326,1.31313,173.2253587,63.00379408,121.4353285,121.3995012,273.571,98.7214,1.79,3.45,8.47,55.5
38,3440.8587,1.920057651,1.430425465,1.961714618,0.4599,-1.1445,-5.1421,5.288,-0.22845,-0.04628,0.1046,-0.2622,-0.2657,-0.2255,-0.72641,-0.59852,1.05778,-0.75943,0.54589,-0.31268,-0.70312,1.31998,173.8021847,62.74542774,120.6205535,121.9356954,267.157,82.4275,1.79,4.36,8.5,60
39,3431.7866,1.92193883,1.429136988,1.978748963,-4.0951,-1.1041,-3.1176,5.2639,-0.22397,-0.03852,0.09747,-0.27462,-0.26084,-0.02564,-0.72485,-0.5975,1.06209,-0.76519,0.54824,-0.31029,-0.69497,1.33671,174.5756204,63.73088689,120.6298788,123.1007006,277.277,104.835,1.84,4.36,8.49,64.5
40,3439.5482,1.915844089,1.429652961,1.962377659,1.3928,-2.4059,-5.0849,5.7952,-0.22844,-0.0481,0.10928,-0.26345,-0.26547,-0.22834,-0.72473,-0.60629,1.06667,-0.76156,0.546,-0.31108,-0.71557,1.33012,173.7793168,62.22492975,120.666146,121.2701454,298.491,83.6356,2.83,4.36,9.92,77.5
42,3452.7187,1.917240266,1.429911813,1.961588433,0.8948,-2.586,-4.1979,5.011,-0.23061,-0.25762,0.10939,-0.2728,-0.25757,-0.23888,0.24025,-0.63748,1.06601,-0.75891,0.54526,-0.31002,-0.74687,1.33881,175.1695888,61.59373362,120.9296716,120.6516129,309.455,121.646,1.82,5.39,12.33,51.5
37,3243.041,1.933746434,1.421019225,1.963897917,-4.4421,3.7164,0.2525,5.7973,-0.19199,-0.2548,0.14178,-0.29791,-0.20888,-0.19684,0.25114,-0.60232,1.05976,-0.77627,0.5516,-0.30957,-0.7441,1.35767,173.3115136,64.35113085,121.2221923,123.0270761,267.289,103.15,1.85,3.45,8.61,49.5
50,3381.4451,1.927452733,1.427497567,1.966719056,-4.1821,0.1102,0.2516,4.1911,-0.30318,-0.22873,0.08525,-0.25731,-0.29855,0.32516,0.24857,-0.59424,1.05903,-0.76494,0.55302,-0.30923,-0.67949,1.31634,173.7003057,64.3805049,121.3446494,122.9259102,257.307,103.466,1.85,3.45,8.61,46.5
52,3410.1298,1.924936196,1.424612209,1.972266049,-3.8787,-1.3655,-2.071,4.6042,-0.24356,-0.25651,0.11828,-0.29611,-0.25294,-0.25519,0.24237,-0.59375,1.06863,-0.76957,0.55209,-0.31218,-0.71203,1.36474,173.8769035,64.15529021,121.7365947,122.3995838,318.168,108.955,2.64,4.15,11.61,20.5
25,3414.7608,1.962621993,1.455497808,1.965598972,-0.3402,2.6349,-1.3187,2.9661,-0.24214,-0.19163,-0.1809,-0.24896,-0.297,-0.22527,0.26786,0.68492,1.03993,-0.75909,0.55503,-0.30802,0.86582,1.28889,174.8082294,45.00160468,112.002458,112.8267753,259.862,84.8919,1.89,3.14,8.28,80
