Sample,-30-32-,"Dist(3, 9)","Dist(4, 10)","Dist(10, 33)","Dist(10, 35)","Dist(30, 32)",dip_x,dip_y,dip_z,Total,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_33,NPA_35,diff 3 9,diff 4 10,diff 10 33,diff 10 35,diff 30 32,Pol iso,Pol aniso,B1,B5,L,Yield
43,3586.0097,1.4790487,1.946701991,1.953672939,1.976938981,0.982637375,0.7736,-3.1115,-1.4691,3.5268,-0.2322,-0.20096,-0.19068,-0.30052,-0.28109,-0.1981,0.24166,0.72902,1.00469,0.53897,0.91949,-0.68871,-0.65661,-0.62697,-0.9197,-1.30521,1.6613,1.63166,1.22768,239.649,71.078,1.74,3.16,8.28,68
45,3621.0561,1.488181531,1.933664069,1.954845664,1.97436342,0.981067999,0.5929,-2.9679,-0.7857,3.1268,-0.23624,-0.20951,-0.21204,-0.28112,-0.26534,-0.19454,0.25301,0.73349,1.00448,0.53835,0.92161,-0.68617,-0.67658,-0.62727,-0.94553,-1.2856,1.68106,1.63175,1.22452,250.934,77.3267,1.98,4.12,8.35,51.5
49,3722.9567,1.428192941,1.93534657,1.921675524,1.975574715,0.97651452,-0.6785,-1.3429,-1.0029,1.8082,-0.22244,-0.25303,0.11386,-0.27755,-0.26108,-0.22728,0.24919,-0.43162,0.98825,0.52108,0.91494,-0.6827,-0.62787,-0.60546,0.54548,-1.2658,1.61612,1.59371,1.20378,256.59,81.2622,2.21,3.57,8.54,69.5
25,3527.3713,1.456340584,1.969030204,1.978100044,1.976624001,0.985564158,-1.9114,-0.7511,-1.7896,2.724,-0.23413,-0.17988,-0.17071,-0.28842,-0.30697,-0.19496,0.26812,0.67957,0.98805,0.54148,0.91527,-0.68674,-0.57988,-0.62709,-0.85028,-1.27647,1.56793,1.61514,1.22822,245.557,74.389,1.89,3.14,8.28,80
36,3583.7454,1.425065871,1.936074175,1.94428603,1.975602705,0.982271498,-6.4281,-4.1125,-1.3829,7.7553,-0.19776,-0.24501,0.11136,-0.36674,-0.21987,-0.16072,0.25514,-0.60315,1.00721,0.53399,0.92145,-0.68441,-0.64436,-0.63297,0.71451,-1.37395,1.65157,1.64018,1.2184,249.13,72.3981,1.7,3.45,8.59,42.5
41,3540.447,1.427436368,1.935493954,1.94037326,1.977957097,0.984352738,-0.0854,-1.7045,-1.562,2.3135,-0.21647,-0.25243,0.10164,-0.37566,-0.24628,-0.23001,0.24891,-0.6022,1.02286,0.5369,0.91944,-0.68758,-0.65517,-0.63314,0.70384,-1.39852,1.67803,1.656,1.22448,268.688,66.9772,2.79,3.44,9.94,71
46,3642.2311,1.499829036,1.925226647,1.958721257,1.972060594,0.980311921,0.6811,-0.9879,-1.036,1.5853,-0.23666,-0.21378,-0.21666,-0.26184,-0.26305,-0.19375,0.25067,0.73198,1.00733,0.53747,0.92116,-0.68478,-0.69041,-0.62683,-0.94864,-1.26917,1.69774,1.63416,1.22225,293.793,82.566,2.06,5.22,9.65,46.5
48,3538.2877,1.490596859,1.948241434,1.936334435,1.975312554,0.98481219,0.2861,-1.0772,-2.111,2.3872,-0.23307,-0.20456,-0.17307,-0.30679,-0.29182,-0.19628,0.24835,0.73951,1.00841,0.53863,0.9173,-0.68969,-0.66637,-0.62542,-0.91258,-1.3152,1.67478,1.63383,1.22832,284.108,84.041,2,5.46,9.4,47.5
47,3563.9051,1.48664455,1.939417973,1.939610696,1.976926545,0.983579591,0.0586,-1.8546,-2.9187,3.4585,-0.23672,-0.19151,-0.1954,-0.30245,-0.27854,-0.19372,0.2653,0.7158,1.00468,0.53891,0.91896,-0.69094,-0.66357,-0.62547,-0.9112,-1.30713,1.66825,1.63015,1.22985,257.031,80.4947,1.87,5.09,8.34,46.5
44A,3589.1144,1.480227587,1.94548264,1.953850687,1.97593381,0.982559266,1.7539,-0.2591,-1.1877,2.134,-0.23145,-0.20502,-0.1906,-0.30333,-0.27698,-0.19831,0.24231,0.7345,1.00445,-0.68774,0.92018,0.53907,-0.65177,-0.62829,-0.9251,-1.30778,1.65622,1.63274,-1.22681,294.629,123.83,1.78,5.12,11.45,37
