Sample,Vibration(29-30),Vibration(31-32),"Distance(3, 9)","Distance(4, 10)","Distance(29, 30)","Distance(31, 32)","Distance(10, 35)","Distance(10, 40)",dip_x,dip_y,dip_z,Total,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_29,NPA_31,NPA_32,NPA_35,NPA_40,NPA_difference_3_9,NPA_difference_4_10,NPA_difference_29_30,NPA_difference_31_32,NPA_difference_10_35,NPA_difference_10_40,NPA_difference_30_35,Pol iso,Pol aniso,B1,B5,L,Yield
43,1726.1723,3663.2591,1.471816707,1.932515907,1.239750287,0.97638796,1.90908862,1.960113985,-2.9408,-4.7926,2.8372,6.2981,-0.25223,-0.21306,-0.19962,-0.20035,-0.26605,-0.19178,0.73762,1.0528,0.8667,-0.74503,0.5069,-0.79702,-0.70814,-0.64671,-0.93724,-1.25315,-1.61173,1.30392,1.76094,1.69951,1.57484,258.197,80.5716,1.74,3.16,8.28,68
45,1740.4283,3689.6725,1.478931227,1.922147725,1.236539985,0.9755594,1.908279613,1.952579747,-3.232,-5.1865,2.0901,6.4586,-0.25773,-0.22171,-0.20012,-0.19228,-0.26046,-0.19186,0.7487,1.0539,0.86714,-0.73598,0.51116,-0.79268,-0.71981,-0.65628,-0.94882,-1.24618,-1.60312,1.30384,1.77371,1.71018,1.58695,270.832,81.2427,1.98,4.12,8.35,51.5
49,1716.2523,3615.5256,1.432989706,1.93091752,1.241873872,0.977981647,1.90744878,1.948428704,-4.4846,-6.3289,2.5006,8.1498,-0.24153,-0.27128,0.10172,-0.26371,-0.24907,-0.22642,-0.4387,1.05889,0.87111,-0.7531,0.50726,-0.80112,-0.7062,-0.61304,0.54042,-1.3226,-1.62421,1.30838,1.76509,1.67193,1.57731,275.436,89.2023,2.21,3.57,8.54,69.5
25,1742.5366,3686.7093,1.449407561,1.951969889,1.236017999,0.975601444,1.912116988,1.972863162,-5.9597,-3.194,2.535,7.2212,-0.25763,-0.20073,-0.18805,-0.19808,-0.26126,-0.19468,0.67774,1.04187,0.86916,-0.73173,0.51065,-0.79251,-0.72616,-0.57629,-0.86579,-1.23995,-1.60089,1.30316,1.76803,1.61816,1.59532,264.555,82.8119,1.89,3.14,8.28,80
36,1722.9059,3643.8084,1.425737357,1.940834178,1.238927678,0.977226094,1.9083467,1.944769124,-6.2929,-4.6992,2.4703,8.2331,-0.21024,-0.25835,0.11343,-0.27228,-0.21917,-0.15552,-0.59833,1.05639,0.87049,-0.74278,0.50929,-0.80175,-0.71473,-0.63016,0.71176,-1.32867,-1.61327,1.31104,1.77112,1.68655,1.58522,270.129,87.9489,1.7,3.45,8.59,42.5
41,1715.3917,3640.7507,1.429732447,1.930003974,1.241345324,0.977019891,1.908809941,1.949377855,-4.7255,-5.7264,2.3695,7.7933,-0.24092,-0.26652,0.10127,-0.27364,-0.24875,-0.22982,-0.60766,1.06461,0.87218,-0.75117,0.50638,-0.79834,-0.70933,-0.61999,0.70893,-1.33825,-1.62335,1.30472,1.77394,1.6846,1.58151,289.201,84.0276,2.79,3.44,9.94,71
46,1742.218,3694.5124,1.491744463,1.919485914,1.236084732,0.975245921,1.909492665,1.94546911,-3.3053,-5.3029,2.1212,6.5989,-0.25621,-0.22844,-0.19128,-0.19428,-0.25996,-0.19352,0.7544,1.05985,0.86696,-0.73226,0.51084,-0.79094,-0.72451,-0.6676,-0.94568,-1.25413,-1.59922,1.30178,1.78436,1.72745,1.59147,313.864,88.2138,2.06,5.22,9.65,46.5
48,1722.0998,3636.2823,1.480931923,1.927492618,1.240689642,0.977449527,1.908891307,1.953927504,-3.4983,-5.5686,3.2389,7.3306,-0.25466,-0.21906,-0.19769,-0.20024,-0.26677,-0.19104,0.74931,1.05475,0.86821,-0.74766,0.50785,-0.80117,-0.70518,-0.64915,-0.947,-1.25499,-1.61587,1.30902,1.75993,1.7039,1.57339,302.268,100.669,2,5.46,9.4,47.5
47,1723.435,3651.5978,1.476684811,1.926012283,1.240195368,0.976861337,1.908528724,1.948831901,-3.7357,-4.489,4.4228,7.3258,-0.2575,-0.20842,-0.20931,-0.19565,-0.27182,-0.1851,0.72038,1.05302,0.86827,-0.74659,0.5073,-0.79913,-0.70659,-0.64895,-0.92969,-1.24867,-1.61486,1.30643,1.75961,1.70197,1.57486,274.814,88.8645,1.87,5.09,8.34,46.5
44A,1738.0348,3677.4091,1.471639462,1.928470737,1.237096484,0.976051916,1.904626366,1.960529703,-3.3329,-4.5589,3.0659,6.4259,-0.25364,-0.21668,-0.20266,-0.19799,-0.25617,-0.1929,0.74547,1.05129,0.86866,-0.73817,0.51129,-0.79508,-0.71686,-0.63564,-0.94813,-1.24928,-1.60683,1.30637,1.76815,1.68693,1.58552,314.364,153.142,1.78,5.12,11.45,37
44B,1713.9684,3628.4065,1.428619969,1.931448203,1.241524962,0.977396275,1.908478612,1.948401299,-5.3194,-6.1656,2.4105,8.4924,-0.24185,-0.26464,0.09885,-0.27118,-0.24851,-0.2269,-0.59508,1.05974,0.87183,-0.75179,0.50672,-0.79964,-0.70791,-0.62262,0.69393,-1.33092,-1.62362,1.30636,1.76765,1.68236,1.57974,311.449,132.398,2.06,3.46,11.69,59.5
33,1716.6362,3640.4296,1.429679694,1.934802044,1.241023183,0.976988494,1.908125376,1.948663466,-4.496,-5.4847,2.7288,7.5988,-0.24097,-0.26528,0.0972,-0.27326,-0.24887,-0.22744,-0.60097,1.05874,0.8706,-0.75067,0.50631,-0.79871,-0.70727,-0.62734,0.69817,-1.332,-1.62127,1.30502,1.76601,1.68608,1.57787,257.604,83.0806,1.7,3.45,8.55,71.5
35,1714.6858,3618.2224,1.42932646,1.93526005,1.241905968,0.978448343,1.907493665,1.947752147,-4.3163,-5.1668,2.9327,7.3435,-0.23697,-0.25772,0.09053,-0.26562,-0.24709,-0.02381,-0.59893,1.06025,0.87106,-0.75316,0.51007,-0.80223,-0.7049,-0.62927,0.68946,-1.32587,-1.62422,1.3123,1.76515,1.68952,1.57596,270.705,89.7442,1.7,3.45,8.55,65.5
