Sample,Vibration(30-31),Vibration(32-33),Vibration(33-34),"Distance(3, 9)","Distance(4, 10)","Distance(30, 31)","Distance(32, 33)","Distance(33, 34)","Distance(10, 35)","Distance(10, 40)",dip_x,dip_y,dip_z,Total,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,NPA_33,NPA_34,NPA_35,NPA_40,NPA_difference_3_9,NPA_difference_4_10,NPA_difference_30_31,NPA_difference_32_33,NPA_difference_33_34,NPA_difference_10_35,NPA_difference_10_40,NPA_difference_30_35,Pol iso,Pol aniso,B1,B5,L,Yield
43,1746.1433,3716.1987,3866.9399,1.474884809,1.932621249,1.237236046,0.974529695,0.96716417,1.899990542,1.963316964,-2.9514,-5.0266,4.8809,7.6027,-0.25929,-0.21671,-0.19671,-0.20185,-0.26499,-0.22053,0.73891,1.05097,0.85852,-0.73775,0.50005,-0.98731,0.47346,-0.71409,-0.64365,-0.93562,-1.25282,1.59627,1.48736,-1.46077,1.76506,1.69462,1.57261,246.701,71.9388,1.74,3.16,8.28,68
45,1742.7328,3719.0329,3855.1088,1.480076957,1.933285921,1.235037472,0.974614843,0.968433005,1.90552825,1.980834784,-1.4554,-2.7077,3.148,4.4,-0.2762,-0.22397,-0.17982,-0.20115,-0.26065,-0.23027,0.75735,1.0557,0.85399,-0.72135,0.50453,-0.99612,0.48351,-0.73076,-0.6718,-0.93717,-1.25685,1.57534,1.50065,-1.47963,1.78646,1.7275,1.58475,256.826,70.3407,1.98,4.12,8.35,51.5
49,1708.4856,3702.982,3862.967,1.432152312,1.933866534,1.239107293,0.974987434,0.967167912,1.901981914,1.948570162,-5.5334,-7.8952,3.8797,10.3926,-0.23899,-0.26971,0.10647,-0.2648,-0.26841,-0.25046,-0.44085,1.05738,0.86106,-0.74785,0.50017,-0.98856,0.47252,-0.7096,-0.60961,0.54732,-1.32218,1.60891,1.48873,-1.46108,1.76698,1.66699,1.57066,263.941,82.9614,2.21,3.57,8.54,69.5
25,1743.1607,3743.4486,3872.4877,1.452128948,1.956555658,1.235249584,0.972839321,0.967446923,1.903182494,1.973575516,-4.8544,-2.5854,5.1007,7.5011,-0.26499,-0.2075,-0.18679,-0.20304,-0.26887,-0.21603,0.67893,1.04402,0.85901,-0.72726,0.49835,-0.98401,0.47742,-0.72898,-0.57101,-0.86572,-1.24706,1.58627,1.48236,-1.46143,1.773,1.61503,1.58799,252.47,71.3742,1.89,3.14,8.28,80
36,1720.768,3686.4521,3881.8257,1.425831297,1.93818114,1.238809631,0.975442418,0.966048935,1.897006846,1.951147101,-6.6823,-8.2951,5.2056,11.8558,-0.21708,-0.25977,0.11796,-0.26945,-0.2189,-0.18692,-0.60757,1.05331,0.86701,-0.74585,0.49822,-0.9961,0.47014,-0.71048,-0.61632,0.72553,-1.32276,1.61286,1.49432,-1.46624,1.76379,1.66963,1.57749,257.885,82.3024,1.7,3.45,8.59,42.5
41,1708.9603,3705.7493,3862.1828,1.42868634,1.932431409,1.238720599,0.974833442,0.967230518,1.90269269,1.950112957,-5.483,-7.1942,3.8332,9.8241,-0.23951,-0.26536,0.10588,-0.27468,-0.26515,-0.25618,-0.61009,1.0641,0.86283,-0.74586,0.49961,-0.98922,0.47317,-0.71297,-0.61625,0.71597,-1.33878,1.60869,1.48883,-1.46239,1.77707,1.68035,1.5758,277.775,76.8732,2.79,3.44,9.94,71
46,1739.5222,3724.0635,3849.262,1.487429706,1.927736509,1.235178032,0.974290781,0.968711587,1.911658038,1.975213059,-1.3589,-2.7512,3.0891,4.3541,-0.27192,-0.23432,-0.17693,-0.20092,-0.26197,-0.22996,0.76549,1.06785,0.85218,-0.72263,0.50415,-0.99456,0.48227,-0.72922,-0.67277,-0.94242,-1.26877,1.57481,1.49871,-1.47683,1.79707,1.74062,1.5814,300.17,72.5279,2.06,5.22,9.65,46.5
48,1711.9027,3695.3066,3864.0843,1.484005417,1.928547255,1.238402462,0.975602981,0.967031637,1.901999382,1.955191232,-4.1407,-6.8267,4.9533,9.396,-0.25705,-0.2197,-0.19301,-0.20069,-0.26669,-0.22299,0.74817,1.05496,0.85846,-0.74256,0.50141,-0.98925,0.47104,-0.70761,-0.64581,-0.94118,-1.25565,1.60102,1.49066,-1.46029,1.76257,1.70077,1.56607,290.646,93.6508,2,5.46,9.4,47.5
47,1739.6659,3715.6328,3855.3356,1.481242401,1.930918629,1.235886991,0.974798445,0.968546947,1.905304831,1.964202602,-2.0076,-2.1724,2.8019,4.0743,-0.2776,-0.21478,-0.19127,-0.19832,-0.26539,-0.22782,0.73155,1.05442,0.85588,-0.72757,0.50619,-0.99616,0.48445,-0.726,-0.66452,-0.92282,-1.25274,1.58345,1.50235,-1.48061,1.78042,1.71894,1.58188,261.615,71.779,1.87,5.09,8.34,46.5
44A,1749.4015,3709.1643,3865.5974,1.474986925,1.933525341,1.237394191,0.974865172,0.967101507,1.900372741,1.959380099,-3.157,-4.8125,5.0484,7.6559,-0.2568,-0.21588,-0.19782,-0.20185,-0.26496,-0.218,0.74668,1.05121,0.85867,-0.73786,0.5004,-0.98721,0.47217,-0.7138,-0.63223,-0.9445,-1.25306,1.59653,1.48761,-1.45938,1.76501,1.68344,1.57247,302.241,136.331,1.78,5.12,11.45,37
