Sample,(4-10),"d(4, 10)","d(3, 9)",dip_x,dip_y,dip_z,Total,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_8,NPA_9,NPA_10,diff 4 10,diff 3 9,B1,B5,L,Pol iso,Pol aniso,Yield
40,3279.3561,1.077064114,1.406283795,-3.4219,1.163,0.253,3.623,-0.19307,-0.05514,0.14293,-0.23698,-0.19603,-0.22888,-0.63193,-0.6137,0.25698,0.49396,0.75663,2.83,4.36,9.92,150.583,81.2256,77.5
34,3281.6894,1.077410123,1.409711822,-2.2885,0.1785,-0.0052,2.2955,-0.23612,-0.21775,0.10409,-0.21753,-0.28599,0.27571,0.20499,-0.58699,0.25948,0.47701,0.69108,1.79,3.45,8.47,121.803,91.7482,55.5
35,3273.8016,1.077243403,1.4074884,-3.448,0.3595,-0.0576,3.4672,-0.19332,-0.2325,0.12782,-0.23414,-0.18719,-0.04547,0.20293,-0.58997,0.25826,0.4924,0.71779,1.7,3.45,8.55,116.764,87.0066,65.5
42,3281.4002,1.07725744,1.405272033,-3.3479,0.9318,0.9964,3.6152,-0.19407,-0.24831,0.14677,-0.24125,-0.18639,-0.23746,0.20251,-0.60546,0.25364,0.49489,0.75223,1.82,5.39,12.33,171.463,148.314,51.5
43,3234.052,1.081969369,1.501004481,-2.9738,-1.233,1.6076,3.5984,-0.21169,-0.19804,-0.14012,-0.1662,-0.20807,-0.19714,0.20915,0.65135,0.23901,0.40521,-0.79147,1.74,3.16,8.28,100.112,64.4397,68
36,3282.4275,1.076744022,1.400760836,-3.1959,4.1837,-0.0839,5.2653,-0.1647,-0.23711,0.15861,-0.2411,-0.1587,-0.1781,0.20965,-0.59612,0.26356,0.50466,0.75473,1.7,3.45,8.59,116.044,83.0593,42.5
41,3282.6419,1.076911468,1.405218628,-3.1123,1.064,0.0001,3.2891,-0.19525,-0.24441,0.14314,-0.24408,-0.18722,-0.23609,0.203,-0.60009,0.25759,0.50167,0.74323,2.79,3.44,9.94,138.344,79.9147,71
49,3280.1375,1.077348185,1.408244799,-3.4088,1.2862,-1.0935,3.804,-0.19684,-0.2529,0.14295,-0.2274,-0.19148,-0.23092,0.21189,-0.42609,0.25298,0.48038,0.56904,2.21,3.57,8.54,121.268,76.2702,69.5
45,3223.7807,1.08220637,1.50204735,-2.3877,-0.9453,-2.5759,3.6372,-0.21347,-0.19472,-0.13843,-0.16904,-0.20933,-0.19959,0.21684,0.65987,0.23235,0.40139,-0.7983,1.98,4.12,8.35,112.098,60.3751,51.5
39,3276.3772,1.077182439,1.408945475,-3.7601,0.5002,-0.0508,3.7935,-0.19245,-0.04202,0.12982,-0.22741,-0.1961,-0.03808,-0.63248,-0.59902,0.25828,0.48569,0.72884,1.84,4.36,8.49,129.355,87.4743,64.5
38,3281.9994,1.077026047,1.407912141,-3.7069,0.9282,-0.1515,3.8243,-0.19346,-0.05347,0.1372,-0.23575,-0.19627,-0.22682,-0.63286,-0.60081,0.25859,0.49434,0.73801,1.79,4.36,8.5,114.88,74.4023,60
33,3285.7038,1.077131863,1.406360716,-3.3835,0.815,-0.0831,3.4812,-0.19566,-0.24337,0.13877,-0.2428,-0.18744,-0.23435,0.20337,-0.59198,0.25866,0.50146,0.73075,1.7,3.45,8.55,102.307,72.9957,71.5
44A,3235.0172,1.081899405,1.502254136,-2.4325,-2.0401,1.3144,3.4362,-0.20927,-0.20089,-0.14214,-0.16476,-0.20592,-0.19471,0.20916,0.66331,0.23874,0.4035,-0.80545,1.78,5.12,11.45,160.287,130.231,37
44B,3282.8395,1.077039327,1.40554231,-3.1676,1.2823,0.3593,3.4362,-0.19542,-0.24215,0.14002,-0.24014,-0.1877,-0.23327,0.20416,-0.58677,0.257,0.49714,0.72679,2.06,3.46,11.69,160.287,130.231,59.5
37,3287.3933,1.076944931,1.398585624,-5.0477,4.301,-0.0016,6.6316,-0.15229,-0.25227,0.17284,-0.24572,-0.13028,-0.20832,0.20793,-0.59718,0.26207,0.50779,0.77002,1.85,3.45,8.61,121.839,103.629,49.5
50,3272.8088,1.077318487,1.409248127,-2.1468,0.7722,-0.0003,2.2815,-0.24942,-0.21711,0.10674,-0.21848,-0.2726,0.27677,0.20508,-0.59295,0.25987,0.47835,0.69969,1.85,3.45,8.61,107.205,79.5104,46.5
52,3277.6813,1.077224593,1.405484725,-3.7792,1.7821,0.4899,4.2069,-0.19541,-0.24283,0.138,-0.24189,-0.18707,-0.23355,0.20448,-0.58842,0.25844,0.50033,0.72642,2.64,4.15,11.61,171.781,104.129,20.5
25,3234.6681,1.081860251,1.471405924,-0.9868,0.643,0,1.1778,-0.21341,-0.17511,-0.1219,-0.16241,-0.21277,-0.19591,0.23062,0.5309,0.23723,0.39964,-0.6528,1.89,3.14,8.28,110.538,78.7137,80
46,3225.9971,1.082655622,1.505891277,1.9884,-0.6829,-2.8433,3.5362,-0.2078,-0.17334,-0.1312,-0.19907,-0.21021,-0.20355,0.22924,0.66744,0.21389,0.41296,0.79864,2.06,5.22,9.65,158.242,65.9347,46.5
48,3225.0643,1.082255878,1.50290534,-2.5424,-0.7077,2.6565,3.7446,-0.21248,-0.19822,-0.13454,-0.17006,-0.20895,-0.20084,0.21384,0.66769,0.23126,0.40132,0.80223,2,5.46,9.4,143.616,71.2096,47.5
47,3231.64,1.081935345,1.495312489,-2.9764,-0.4743,1.4432,3.3417,-0.21579,-0.16889,-0.14307,-0.16307,-0.21292,-0.19368,0.20847,0.65324,0.23358,0.39665,0.79631,1.87,5.09,8.34,117.17,65.2445,46.5
